model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,10000,19,12019,10000,9991,1.9982,1610,2742,2715,0.8005,8005,0.0066151251773447495,0.03333333333333333,0.06756144899451114,0.4703,4703,0.02976449410423254,0.10054088450524976,0.007493353095475433
ER,2,30000,1,32001,30000,29712,1.9808,4972,8242,8188,0.7901666666666667,23705,0.005096848669330134,0.02564102564102564,0.05800774130988869,0.4607,13821,0.01760360562490204,0.07692307692307693,0.07401585104655099
ER,2,30000,2,32002,30000,29952,1.9968,4905,8105,8085,0.7966,23898,0.0061766426282798825,0.023255813953488372,0.0510739694012274,0.47433333333333333,14230,0.021409617214176224,0.08571428571428572,0.053825159324299834
ER,2,30000,3,32003,30000,30120,2.008,4753,8034,8266,0.8029666666666667,24089,0.0056323273499674364,0.030303030303030304,0.06667755331023784,0.4743,14229,0.021540086744824993,0.08333333333333333,0.07752949105108554
ER,2,30000,5,32005,30000,30089,2.005933333333333,4873,8094,8095,0.7958,23874,0.007781217763165316,0.034482758620689655,0.08866112323295498,0.4728333333333333,14185,0.02475689448274543,0.1111111111111111,0.05709830765957311
ER,2,30000,0,32000,30000,29948,1.9965333333333333,4927,8140,8074,0.7942,23826,0.004864093458740726,0.03225806451612903,0.08608914776892737,0.4694,14082,0.02553997696018695,0.0967741935483871,0.045693581514212704
ER,2,30000,4,32004,30000,29856,1.9904,4986,8082,8172,0.7911333333333334,23734,0.006511240101850335,0.037037037037037035,0.10631378499486209,0.4723333333333333,14170,0.025883069010369963,0.1111111111111111,0.050016271690455576
ER,2,30000,6,32006,30000,29753,1.9835333333333334,4893,8174,8099,0.7967333333333333,23902,0.006301986358298706,0.043478260869565216,0.06192083339775284,0.4659,13977,0.019717939144606067,0.09090909090909091,0.11406126221743898
ER,2,30000,8,32008,30000,30027,2.0018,4899,8025,8081,0.7952,23856,0.004257523843747002,0.02702702702702703,0.07116931873798113,0.4758,14274,0.022495557072261363,0.10204081632653061,0.04059626522590216
ER,2,30000,9,32009,30000,30097,2.006466666666667,4823,8079,8206,0.7979666666666667,23939,0.00409641815482753,0.02702702702702703,0.06322473030094913,0.47513333333333335,14254,0.019970111712303007,0.0967741935483871,0.057132366091299756
