model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,1000,3.6,,,0,1000,1824,3.648,171,0.171,0.09375,0.973,973,0.10306958188208924,0.867,867,1717,3.9607843137254903,0.14031753291683752,0.21337946943483277,0.10774606872451951
ER,1000,3.6,,,2,1000,1821,3.642,190,0.19,0.1043382756727073,0.977,977,0.10166442864955443,0.861,861,1703,3.9558652729384436,0.11506062491951322,0.23693379790940766,0.11978860833822666
ER,1000,3.6,,,3,1000,1813,3.626,188,0.188,0.10369553226696084,0.975,975,0.08462592607324879,0.858,858,1696,3.953379953379953,0.12343564188617691,0.22843822843822845,0.11556603773584907
ER,1000,4.0,,,0,1000,1987,3.974,149,0.149,0.07498741821841973,0.982,982,0.06041760366563776,0.906,906,1911,4.218543046357616,0.14283924321099598,0.17108167770419427,0.08110936682365254
ER,1000,4.0,,,1,1000,2026,4.052,134,0.134,0.06614017769002963,0.974,974,0.13849188555371747,0.904,904,1955,4.325221238938053,0.16148935360977246,0.16150442477876106,0.07468030690537084
ER,1000,4.0,,,2,1000,1928,3.856,165,0.165,0.08558091286307054,0.977,977,0.11477787113420289,0.877,877,1828,4.168757126567845,0.13949899521163653,0.19156214367160776,0.09190371991247265
ER,1000,4.0,,,3,1000,2085,4.17,123,0.123,0.058992805755395686,0.981,981,0.12313092295212903,0.915,915,2018,4.410928961748634,0.131135983531515,0.14098360655737704,0.0639246778989098
ER,1000,4.5,,,0,1000,2213,4.426,108,0.108,0.04880253050158156,0.987,987,0.14629519088016807,0.933,933,2159,4.628081457663451,0.16429310350336265,0.1189710610932476,0.051412691060676245
ER,1000,4.5,,,1,1000,2254,4.508,105,0.105,0.046583850931677016,0.991,991,0.15569877643716645,0.94,940,2203,4.687234042553191,0.1802508509012635,0.11914893617021277,0.05083976395823877
ER,1000,4.5,,,2,1000,2116,4.232,129,0.129,0.0609640831758034,0.985,985,0.1534262454129588,0.928,928,2058,4.435344827586207,0.16284191404996395,0.14224137931034483,0.0641399416909621
ER,1000,5.0,,,0,1000,2540,5.08,98,0.098,0.03858267716535433,0.996,996,0.20474215879968458,0.968,968,2512,5.190082644628099,0.2077335193948273,0.10227272727272728,0.03941082802547771
ER,1000,4.5,,,3,1000,2257,4.514,115,0.115,0.05095259193619849,0.989,989,0.16269552833369574,0.938,938,2206,4.70362473347548,0.16719535748424383,0.12899786780383796,0.05485040797824116
ER,1000,5.0,,,1,1000,2459,4.918,90,0.09,0.036600244001626675,0.993,993,0.1589421223555022,0.949,949,2415,5.089567966280295,0.20491036071326155,0.09483667017913593,0.037267080745341616
ER,1000,5.0,,,2,1000,2463,4.926,74,0.074,0.030044660982541615,0.992,992,0.18303124028387557,0.956,956,2426,5.075313807531381,0.19094388449277777,0.0794979079497908,0.031327287716405604
ER,1000,5.0,,,3,1000,2493,4.986,80,0.08,0.032089851584436425,0.992,992,0.196645845526571,0.957,957,2458,5.136886102403344,0.20684186014120437,0.08881922675026123,0.03458096013018714
ER,3000,2.0,,,0,3000,2994,1.996,785,0.26166666666666666,0.262191048764195,0.787,2361,0.008342170391990145,0.4593333333333333,1378,1872,2.7169811320754715,0.02862227261347702,0.5312046444121916,0.3910256410256411
ER,3000,2.0,,,1,3000,2997,1.998,811,0.2703333333333333,0.27060393727060394,0.8053333333333333,2416,0.01693051112183852,0.4686666666666667,1406,1877,2.669985775248933,0.033570563843273886,0.5405405405405406,0.4049014384656367
ER,3000,2.0,,,2,3000,3008,2.005333333333333,836,0.2786666666666667,0.27792553191489366,0.797,2391,0.007853609023358743,0.474,1422,1889,2.6568213783403656,0.0279694048271856,0.549929676511955,0.4139756484912652
